PatternConfig Name,Benchmark,Profiler,MemCellType,Cache Level,Design Target,Capacity,Word Width (bits),Optimization Target,Total Reads,Total Writes,Total Read Latency (ms),Total Write Latency (ms),Total Latency (ms),Total Read Energy (mJ),Total Write Energy (mJ),Total Energy (mJ),Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power (mW),Read Bandwidth Usage (%),Write Bandwidth Usage (%),Cache Hit Latency (ns),Cache Miss Latency (ns),Cache Write Latency (ns),Cache Hit Energy (nJ),Cache Miss Energy (nJ),Cache Write Energy (nJ),Leakage Power (mW),Total Area (mm^2)
memsyspatternconfig_povray_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,36077,44799,1.440836119902935,1.8586138091337392,3.2994499290366743,0.0055572319277432,0.0039410223594141,0.0094982542871573,811.5116716914738,575.4997604284697,1388.363354408088,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_lbm_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,8808533,22650710,351.7934559347218,939.7290652176092,1291.5225211523311,1.3568495391573498,1.9926104280587944,3.349459967216144,280.36746036965286,411.7355013201243,693.4548839779216,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_bwaves_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,2212814,95528896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_cactuBSSN_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,177705,1392159,7.097147287395045,57.757671865662566,64.8548191530576,0.0273733375757299,0.1224699155530181,0.149843253128748,4007.809308305989,17931.173580236915,21940.33481083105,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_pop2_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,4030087,22946208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_perlbench_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,799301,620770,31.92232589945217,25.75440733712697,57.67673323657914,0.1231227939428743,0.0546098897308763,0.1777326836737506,484.5618063720256,214.92256605262023,700.8362947127903,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_namd_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,14668,114443,0.5858076948398218,4.747993039101153,5.333800733940975,0.0022594306044332,0.0100676894992842,0.0123271201037174,72.34808211441641,322.3723823017689,396.07238670432974,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_deepsjeng_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,5824,15574569,0.2325977648450451,646.1552493293657,646.3878470942108,0.0008971177965788,1.3701137227893176,1.3710108405858965,138.61523432924693,211698.659269054,211838.6264256714,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_blender_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,275359,804452,10.99723350445858,33.37497703040815,44.37221053486672,0.042415772552913,0.070768618028872,0.1131843905817851,3093.1067274056027,5160.695546479405,8255.154196173153,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_specrand_is_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,8,12,0.0003195024242376,0.000497854097404,0.0008173565216417,1.232304665630338e-06,1.0556545528464904e-06,2.2879592184768283e-06,0.0065409299711269,0.0056032916992472,1.364066509814824,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
