PatternConfig Name,Benchmark,Profiler,MemCellType,Cache Level,Design Target,Capacity,Word Width (bits),Optimization Target,Total Reads,Total Writes,Total Hits,Total Misses,Total Read Latency (ms),Total Write Latency (ms),Total Hit Latency (ms),Total Miss Latency (ms),Total Latency (ms),Total Read Energy (mJ),Total Write Energy (mJ),Total Hit Energy (mJ),Total Miss Energy (mJ),Total Energy (mJ),Cache Hit Latency (ns),Cache Miss Latency (ns),Cache Write Latency (ns),Cache Hit Energy (nJ),Cache Miss Energy (nJ),Cache Write Energy (nJ),Leakage Power (mW),Total Area (mm^2)
memsyspatternconfig_omnetpp_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,6789,2448,9237,0,0.4413273784942225,0.5484667698542786,0.4413273784942225,0.0,0.9897941483485011,0.018946085762504457,0.0033390429201287553,0.018946085762504457,0.0,0.02228512868263321,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_deepsjeng_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,5824,15574569,15580393,0,744.4033775684459,3489.4336402379827,744.4033775684459,0.0,4233.837017806429,31.957070693030648,21.24352710519068,31.957070693030648,0.0,53.200597798221324,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_blender_r_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,275359,804452,1079811,0,51.59144288180414,180.23496321193386,51.59144288180414,0.0,231.826406093738,2.214809116953091,1.0972629718886509,2.214809116953091,0.0,3.3120720888417416,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_fotonik3d_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,8085,52510,0,0,0.0,11.764701832127518,0.0,0.0,11.764701832127518,0.0,0.07162301623201019,0.0,0.0,0.07162301623201019,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_wrf_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,2506442,3794119,0,0,0.0,850.0605360999778,0.0,0.0,850.0605360999778,0.0,5.1751332455375785,0.0,0.0,5.1751332455375785,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_leela_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,9037,70387,79424,0,3.7947370043872604,15.769987961492282,3.7947370043872604,0.0,19.56472496587954,0.16290721182214507,0.09600703187054847,0.16290721182214507,0.0,0.25891424369269356,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_mcf_r_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,33519188,441448,33960636,0,1622.5785923867613,98.90504845532337,1622.5785923867613,0.0,1721.4836408420847,69.65693647344335,0.6021298280249177,69.65693647344335,0.0,70.25906630146827,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_bwaves_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,2212814,95528896,0,0,0.0,21402.951395778313,0.0,0.0,21402.951395778313,0.0,130.30027935315204,0.0,0.0,130.30027935315204,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_lbm_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,12288371,64084740,0,0,0.0,14357.986251940883,0.0,0.0,14357.986251940883,0.0,87.41082409529903,0.0,0.0,87.41082409529903,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_roms_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,39696,35125553,0,0,0.0,7869.7706671794385,0.0,0.0,7869.7706671794385,0.0,47.91083703441885,0.0,0.0,47.91083703441885,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
