PatternConfig Name,Benchmark,Profiler,MemCellType,Cache Level,Design Target,Capacity,Word Width (bits),Optimization Target,Total Reads,Total Writes,Total Hits,Total Misses,Total Read Latency (ms),Total Write Latency (ms),Total Hit Latency (ms),Total Miss Latency (ms),Total Latency (ms),Total Read Energy (mJ),Total Write Energy (mJ),Total Hit Energy (mJ),Total Miss Energy (mJ),Total Energy (mJ),Cache Hit Latency (ns),Cache Miss Latency (ns),Cache Write Latency (ns),Cache Hit Energy (nJ),Cache Miss Energy (nJ),Cache Write Energy (nJ),Leakage Power (mW),Total Area (mm^2)
memsyspatternconfig_omnetpp_s_l3,core_0,sniper,Single-Level Cell FeFET,N/A,cache,8MB,128,WriteEDP,6789,2448,9237,0,3.090848351493583,33.22143921503764,3.090848351493583,0.0,36.312287566531225,0.0035381622659616894,0.0005325272650394409,0.0035381622659616894,0.0,0.00407068953100113,33.46160389188679,13.589430915271908,1357.0849352548055,0.03830423585538258,0.03830423585538258,0.02175356474834317,56.236538834647455,1.3674434132073952
memsyspatternconfig_deepsjeng_s_l3,core_0,sniper,Single-Level Cell FeFET,N/A,cache,8MB,128,WriteEDP,5824,15574569,15580393,0,5213.449390459257,211360.12962986503,5213.449390459257,0.0,216573.57902032428,5.967950481915518,3.3880239516903843,5.967950481915518,0.0,9.355974433605903,33.46160389188679,13.589430915271908,1357.0849352548055,0.03830423585538258,0.03830423585538258,0.02175356474834317,56.236538834647455,1.3674434132073952
memsyspatternconfig_blender_r_l3,core_0,sniper,Single-Level Cell FeFET,N/A,cache,8MB,128,WriteEDP,275359,804452,1079811,0,361.32207960102164,10917.096903355989,361.32207960102164,0.0,11278.41898295701,0.41361335223236523,0.17499698668934163,0.41361335223236523,0.0,0.5886103389217069,33.46160389188679,13.589430915271908,1357.0849352548055,0.03830423585538258,0.03830423585538258,0.02175356474834317,56.236538834647455,1.3674434132073952
memsyspatternconfig_fotonik3d_s_l3,core_0,sniper,Single-Level Cell FeFET,N/A,cache,8MB,128,WriteEDP,8085,52510,0,0,0.0,712.6052995022984,0.0,0.0,712.6052995022984,0.0,0.011422796849355,0.0,0.0,0.011422796849355,33.46160389188679,13.589430915271908,1357.0849352548055,0.03830423585538258,0.03830423585538258,0.02175356474834317,56.236538834647455,1.3674434132073952
memsyspatternconfig_wrf_s_l3,core_0,sniper,Single-Level Cell FeFET,N/A,cache,8MB,128,WriteEDP,2506442,3794119,0,0,0.0,51489.41737464028,0.0,0.0,51489.41737464028,0.0,0.8253561332941906,0.0,0.0,0.8253561332941906,33.46160389188679,13.589430915271908,1357.0849352548055,0.03830423585538258,0.03830423585538258,0.02175356474834317,56.236538834647455,1.3674434132073952
memsyspatternconfig_leela_s_l3,core_0,sniper,Single-Level Cell FeFET,N/A,cache,8MB,128,WriteEDP,9037,70387,79424,0,26.576544275092164,955.2113733778001,26.576544275092164,0.0,981.7879176528922,0.030422756285779066,0.01531168161941631,0.030422756285779066,0.0,0.04573443790519538,33.46160389188679,13.589430915271908,1357.0849352548055,0.03830423585538258,0.03830423585538258,0.02175356474834317,56.236538834647455,1.3674434132073952
memsyspatternconfig_mcf_r_l3,core_0,sniper,Single-Level Cell FeFET,N/A,cache,8MB,128,WriteEDP,33519188,441448,33960636,0,11363.773497485507,5990.824304983635,11363.773497485507,0.0,17354.597802469143,13.008362111427967,0.09603067651026598,13.008362111427967,0.0,13.104392787938233,33.46160389188679,13.589430915271908,1357.0849352548055,0.03830423585538258,0.03830423585538258,0.02175356474834317,56.236538834647455,1.3674434132073952
memsyspatternconfig_bwaves_s_l3,core_0,sniper,Single-Level Cell FeFET,N/A,cache,8MB,128,WriteEDP,2212814,95528896,0,0,0.0,1296408.2564312306,0.0,0.0,1296408.2564312306,0.0,20.780940244737412,0.0,0.0,20.780940244737412,33.46160389188679,13.589430915271908,1357.0849352548055,0.03830423585538258,0.03830423585538258,0.02175356474834317,56.236538834647455,1.3674434132073952
memsyspatternconfig_lbm_s_l3,core_0,sniper,Single-Level Cell FeFET,N/A,cache,8MB,128,WriteEDP,12288371,64084740,0,0,0.0,869684.3523372104,0.0,0.0,869684.3523372104,0.0,13.940715409707376,0.0,0.0,13.940715409707376,33.46160389188679,13.589430915271908,1357.0849352548055,0.03830423585538258,0.03830423585538258,0.02175356474834317,56.236538834647455,1.3674434132073952
memsyspatternconfig_roms_s_l3,core_0,sniper,Single-Level Cell FeFET,N/A,cache,8MB,128,WriteEDP,39696,35125553,0,0,0.0,476683.5881879424,0.0,0.0,476683.5881879424,0.0,7.641059915068598,0.0,0.0,7.641059915068598,33.46160389188679,13.589430915271908,1357.0849352548055,0.03830423585538258,0.03830423585538258,0.02175356474834317,56.236538834647455,1.3674434132073952
